id,pk,bd_mgt_sn,sido,sigungu,gu,rd_nm,bld_s,bld_e,buld_nm,buld_nm_dc,buld_se_cd,bul_eng_nm,zip_cd,gro_flo_co,und_flo_co,buld_no,sig_cd,rn_cd,emd_cd,pnu,xpos,ypos,poi_chk,mainPurpsCdNm,archArea,totArea,grndFlrCnt,ugrndFlrCnt,pmsDay,stcnsDay,useAprDay,has_register_match,match_method,administrative_uncertainty,building_area_m2,change_area_m2,change_ratio,max_change_score,near_change,site_id,brightness_delta,change_type,classification_note,directional_consistency_flag,change_id,mean_change_score,t1_date,t2_date,method,brightness_t1,brightness_t2,confidence,building_relevance,priority_score,inspection_priority,gi_zscore,gi_pvalue,gi_class
lt_c_spbd.4108585369,415950031091,4159011700000060001031227,경기도,화성시 병점구,병점동,효행로,1131,0,,,0,,,1.0,0.0,1131,41595,3012007,102,4159510200100060000,127.04954952649845,37.215005002864004,,,,,,,,,,False,,1.0,1472.84,123.31,0.0837,0.6141,False,CHG_00044,-112.85,EXPANSION_OR_RECONSTRUCTION,"change_ratio=0.08 - 부분 변화, 증축/개축 추정 (건축물대장 미매칭, change_ratio 휴리스틱) - brightness_delta=-112.8(T2가 더 어두움)로 증축 기대 방향과 불일치, 재확인 권장",False,,,,,,,,0.6141,1.0,0.5708,MEDIUM,-0.013143823510452629,0.909,NOT_SIG
lt_c_spbd.4108585370,415950031090,4159011700000060000031226,경기도,화성시 병점구,병점동,효행로,1131,0,,,0,,,1.0,0.0,1131,41595,3012007,102,4159510200100060000,127.04999767532568,37.21501200338571,,,,,,,,,,False,,1.0,535.44,250.56,0.468,0.6141,False,CHG_00044,-112.85,EXPANSION_OR_RECONSTRUCTION,"change_ratio=0.47 - 부분 변화, 증축/개축 추정 (건축물대장 미매칭, change_ratio 휴리스틱) - brightness_delta=-112.8(T2가 더 어두움)로 증축 기대 방향과 불일치, 재확인 권장",False,,,,,,,,0.6141,1.0,0.686,MEDIUM,-0.013143823510452629,0.987,NOT_SIG
lt_c_spbd.4108585372,415950031088,4159011700000060000026034,경기도,화성시 병점구,병점동,효행로,1131,0,,,0,,,1.0,0.0,1131,41595,3012007,102,4159510200100060000,127.04981923376863,37.21513950571908,,,,,,,,,,False,,1.0,117.51,101.08,0.8601,0.6141,False,CHG_00044,-112.85,NEW_BUILDING,"change_ratio=0.86 >= 0.5 - 신축 추정 (건축물대장 미매칭, change_ratio 휴리스틱) - brightness_delta=-112.8(T2가 더 어두움)로 신축 기대 방향과 불일치, 재확인 권장",False,,,,,,,,0.6141,1.0,0.8037,HIGH,-0.013143823510452629,0.863,NOT_SIG
lt_c_spbd.4108584902,415950030145,4159011900004490000025583,경기도,화성시 병점구,기산동,동탄지성로255번길,31,14,,,0,,,1.0,0.0,31-14,41595,4430321,104,4159510400101210000,127.04831890003608,37.21754705538176,,,,,,,,,,False,,1.0,15.79,1.82,0.1153,0.6454,False,CHG_00043,329.5,EXPANSION_OR_RECONSTRUCTION,"change_ratio=0.12 - 부분 변화, 증축/개축 추정 (건축물대장 미매칭, change_ratio 휴리스틱)",True,,,,,,,,0.6454,1.0,0.5928,MEDIUM,0.1559415377423217,0.535,NOT_SIG
lt_c_spbd.4108584899,415950030142,4159011900001210000025557,경기도,화성시 병점구,기산동,동탄지성로255번길,31,14,,,0,,,1.0,0.0,31-14,41595,4430321,104,4159510400101210000,127.04826568570695,37.21756338633229,,,,,,,,,,False,,1.0,62.94,51.69,0.8212,0.6454,False,CHG_00043,329.5,NEW_BUILDING,"change_ratio=0.82 >= 0.5 - 신축 추정 (건축물대장 미매칭, change_ratio 휴리스틱)",True,,,,,,,,0.6454,1.0,0.8045,HIGH,0.1559415377423217,0.728,NOT_SIG
lt_c_spbd.4108584900,415950030141,4159011900001210000025542,경기도,화성시 병점구,기산동,동탄지성로255번길,31,14,,,0,,,1.0,0.0,31-14,41595,4430321,104,4159510400101210000,127.04821887489192,37.21759361514798,,,,,,,,,,False,,1.0,81.34,78.0,0.9589,0.6454,False,CHG_00043,329.5,NEW_BUILDING,"change_ratio=0.96 >= 0.5 - 신축 추정 (건축물대장 미매칭, change_ratio 휴리스틱)",True,,,,,,,,0.6454,1.0,0.8458,HIGH,0.1559415377423217,0.773,NOT_SIG
lt_c_spbd.4108584904,415950030144,4159011900004490000025580,경기도,화성시 병점구,기산동,동탄지성로255번길,31,14,,,0,,,1.0,0.0,31-14,41595,4430321,104,4159510400101210000,127.04836437873341,37.217600928114734,,,,,,,,,,False,,1.0,15.05,0.0,0.0,,True,,,OTHER_CHANGE,"건물 본체 미교차, 버퍼 내 변화만 존재",,,,,,,,,0.0,0.3,0.23,LOW,0.1559415377423217,0.251,NOT_SIG
lt_c_spbd.4108585368,415950031087,4159011700000060000026000,경기도,화성시 병점구,병점동,효행로,1131,0,,,0,,,1.0,0.0,1131,41595,3012007,102,4159510200100060000,127.04970989485173,37.21521743408064,,,,,,,,,,False,,1.0,119.77,20.54,0.1715,0.6141,False,CHG_00044,-112.85,EXPANSION_OR_RECONSTRUCTION,"change_ratio=0.17 - 부분 변화, 증축/개축 추정 (건축물대장 미매칭, change_ratio 휴리스틱) - brightness_delta=-112.8(T2가 더 어두움)로 증축 기대 방향과 불일치, 재확인 권장",False,,,,,,,,0.6141,1.0,0.5971,MEDIUM,-0.013143823510452629,0.951,NOT_SIG
lt_c_spbd.4108584903,415950030143,4159011900001210001025541,경기도,화성시 병점구,기산동,동탄지성로255번길,31,14,,,0,,,1.0,0.0,31-14,41595,4430321,104,4159510400101210000,127.04803943099024,37.21765722527095,,,,,,,,,,False,,1.0,159.71,159.71,1.0,0.6454,False,CHG_00043,329.5,NEW_BUILDING,"change_ratio=1.00 >= 0.5 - 신축 추정 (건축물대장 미매칭, change_ratio 휴리스틱)",True,,,,,,,,0.6454,1.0,0.8582,HIGH,0.1559415377423217,0.797,NOT_SIG
lt_c_spbd.4108584898,415950030139,4159011900001210000025488,경기도,화성시 병점구,기산동,동탄지성로255번길,31,14,,,0,,,1.0,0.0,31-14,41595,4430321,104,4159510400101210000,127.04808135284165,37.21770612437608,,,,,,,,,,False,,1.0,161.05,161.05,1.0,0.6454,False,CHG_00043,329.5,NEW_BUILDING,"change_ratio=1.00 >= 0.5 - 신축 추정 (건축물대장 미매칭, change_ratio 휴리스틱)",True,,,,,,,,0.6454,1.0,0.8582,HIGH,0.1559415377423217,0.797,NOT_SIG
