방문순서,우선순위,현장ID,주요변화유형,후보건수,건물수,변화면적(m2),관련필지PNU,X_EPSG5186,Y_EPSG5186,경도,위도,보상기준일판정,무허가의심등급,대장매칭건수,방향불일치건수,현장확인사항,현장판정(기입),사진촬영(기입),조사자(기입),조사일자(기입),비고(기입)
1,HIGH,CHG_00029,EXPANSION_OR_RECONSTRUCTION,124,124,17433.44,4159510400102340001;4159510400102340002;4159510400102340003;4159510400102350002;4159510400102520000;4159510400102580002;4159510400102580004;4159510400102580006;4159510400102580008;4159510400102590001;4159510400102610001;4159510400102610002;4159510400,203885.72,513999.3,127.043783,37.225135,STRADDLES_BASELINE,B_MODERATE,116,11,"증축·개축 범위와 허가 범위 일치 여부 확인 / 밝기 변화 방향 불일치 11건 - 자동판정 신뢰도 낮음, 육안 확인 필수 / 후보 124건이 한 현장에 몰려 있음 - 1회 방문으로 일괄 확인 가능",,,,,
2,HIGH,CHG_00020,NEW_BUILDING,2,2,218.27,4159510400104140001;4159510400104140020,203733.88,514295.64,127.042074,37.227806,PRE_BASELINE,NONE,2,0,신축 여부 및 착공·사용승인 이력 확인,,,,,
3,HIGH,CHG_00013,EXPANSION_OR_RECONSTRUCTION,10,10,1213.53,4159510500102440003;4159510500102470000;4159510500102480009;4159510500102480010;4159510500102480016;4159510500102480020;4159510500102480022,204166.13,514457.64,127.046946,37.229264,STRADDLES_BASELINE,B_MODERATE,10,0,증축·개축 범위와 허가 범위 일치 여부 확인 / 후보 10건이 한 현장에 몰려 있음 - 1회 방문으로 일괄 확인 가능,,,,,
4,HIGH,CHG_00009,NEW_BUILDING,2,2,453.89,4159510500103110074;4159510500103110075,204124.4,514585.09,127.046476,37.230412,STRADDLES_BASELINE,NONE,2,0,신축 여부 및 착공·사용승인 이력 확인,,,,,
5,HIGH,CHG_00010,NEW_BUILDING,1,1,192.82,4159510500103110050,204276.69,514546.97,127.048192,37.230068,POST_BASELINE_PERMITTED,NONE,1,0,신축 여부 및 착공·사용승인 이력 확인,,,,,
6,HIGH,CHG_00027,EXPANSION_OR_RECONSTRUCTION,5,5,638.0,4159510500106920003;4159510500106920030;4159510500106940000;4159510500106940001,204560.95,513981.04,127.051392,37.224968,STRADDLES_BASELINE,B_MODERATE,5,0,증축·개축 범위와 허가 범위 일치 여부 확인 / 후보 5건이 한 현장에 몰려 있음 - 1회 방문으로 일괄 확인 가능,,,,,
7,HIGH,CHG_00024,EXPANSION_OR_RECONSTRUCTION,9,9,1359.91,4159510500105900005;4159510500105900006;4159510500105900014;4159510500105900015;4159510500105900016;4159510500105900017;4159510500105900025;4159510500105940001,204893.45,514064.05,127.055139,37.225714,STRADDLES_BASELINE,NONE,9,0,증축·개축 범위와 허가 범위 일치 여부 확인 / 후보 9건이 한 현장에 몰려 있음 - 1회 방문으로 일괄 확인 가능,,,,,
8,HIGH,CHG_00023,NEW_BUILDING,2,2,290.63,4159510500105770006,205045.08,514150.62,127.056848,37.226493,PRE_BASELINE,NONE,2,0,신축 여부 및 착공·사용승인 이력 확인,,,,,
9,HIGH,CHG_00022,EXPANSION_OR_RECONSTRUCTION,2,2,341.09,4159510500105720009;4159510500105720010,205075.13,514294.69,127.057188,37.227791,STRADDLES_BASELINE,NONE,2,0,증축·개축 범위와 허가 범위 일치 여부 확인,,,,,
10,HIGH,CHG_00017,EXPANSION_OR_RECONSTRUCTION,3,3,417.74,4159510500102950017;4159510500102950018;4159510500102950021,205134.64,514431.43,127.057859,37.229023,STRADDLES_BASELINE,B_MODERATE,2,1,"증축·개축 범위와 허가 범위 일치 여부 확인 / 밝기 변화 방향 불일치 1건 - 자동판정 신뢰도 낮음, 육안 확인 필수",,,,,
11,HIGH,CHG_00014,NEW_BUILDING,12,12,1442.32,4159510500102860061;4159510500102860066;4159510500102860067;4159510500102860068;4159510500102860069;4159510500102950001;4159510500102950002;4159510500103180003;4159510500103180005;4159510500103180006;4159510500103180012;4159510500103180019,205041.71,514478.37,127.056812,37.229446,STRADDLES_BASELINE,B_MODERATE,12,0,신축 여부 및 착공·사용승인 이력 확인 / 후보 12건이 한 현장에 몰려 있음 - 1회 방문으로 일괄 확인 가능,,,,,
12,HIGH,CHG_00008,EXPANSION_OR_RECONSTRUCTION,4,4,3440.33,4159510500101250004;4159510500101340001,205721.27,514748.63,127.064472,37.231878,STRADDLES_BASELINE,B_MODERATE,4,0,증축·개축 범위와 허가 범위 일치 여부 확인,,,,,
13,HIGH,CHG_00012,EXPANSION_OR_RECONSTRUCTION,4,4,414.38,4159510500101140001;4159510500101160000;4159510500101170000;4159510500101200006,205992.08,514519.45,127.067522,37.229811,STRADDLES_BASELINE,B_MODERATE,4,0,증축·개축 범위와 허가 범위 일치 여부 확인,,,,,
14,HIGH,CHG_00018,EXPANSION_OR_RECONSTRUCTION,7,7,488.23,4159510500103480002;4159510500103480003;4159510500103480015;4159510500103480016;4159510500103490001;4159510500103510007,205879.2,514305.15,127.066248,37.227881,STRADDLES_BASELINE,B_MODERATE,7,0,증축·개축 범위와 허가 범위 일치 여부 확인 / 후보 7건이 한 현장에 몰려 있음 - 1회 방문으로 일괄 확인 가능,,,,,
15,HIGH,CHG_00031,NEW_BUILDING,4,4,769.79,4159510500105400000;4159510500105500000;4159510500105520003,205321.87,513698.81,127.059964,37.222421,STRADDLES_BASELINE,B_MODERATE,4,0,신축 여부 및 착공·사용승인 이력 확인,,,,,
16,HIGH,CHG_00033,EXPANSION_OR_RECONSTRUCTION,11,11,3356.22,4159510500105450000;4159510500105450001;4159510500106290000;4159510500106290003;4159510500106310003;4159510500106310009;4159510500106330002;4159510500106330005;4159510500106330006;4159510500106330007,205147.51,513538.5,127.057998,37.220977,STRADDLES_BASELINE,B_MODERATE,11,0,증축·개축 범위와 허가 범위 일치 여부 확인 / 후보 11건이 한 현장에 몰려 있음 - 1회 방문으로 일괄 확인 가능,,,,,
17,HIGH,CHG_00037,NEW_BUILDING,3,3,796.09,4159510400101240003;4159510400101270002;4159510400101270003,204398.07,513014.16,127.049551,37.216256,STRADDLES_BASELINE,B_MODERATE,1,0,신축 여부 및 착공·사용승인 이력 확인,,,,,
18,HIGH,CHG_00038,NEW_BUILDING,2,2,483.28,4159510200100080000;4159510200100080001,204463.54,512835.83,127.050287,37.214649,STRADDLES_BASELINE,B_MODERATE,0,0,신축 여부 및 착공·사용승인 이력 확인 / 건축물대장 미매칭 - 무허가 또는 미등록 여부 확인 필요,,,,,
19,HIGH,CHG_00035,NEW_BUILDING,1,1,213.99,4159510400100930000,204146.51,513356.76,127.046718,37.219344,STRADDLES_BASELINE,B_MODERATE,0,1,"신축 여부 및 착공·사용승인 이력 확인 / 건축물대장 미매칭 - 무허가 또는 미등록 여부 확인 필요 / 밝기 변화 방향 불일치 1건 - 자동판정 신뢰도 낮음, 육안 확인 필수",,,,,
20,HIGH,CHG_00036,EXPANSION_OR_RECONSTRUCTION,2,2,229.96,4159510100101300009;4159510100101300010,202934.86,513286.47,127.033067,37.218716,STRADDLES_BASELINE,NONE,2,0,증축·개축 범위와 허가 범위 일치 여부 확인,,,,,
21,HIGH,CHG_00025,EXPANSION_OR_RECONSTRUCTION,1,1,86.72,4159510600104490001,202490.27,514112.86,127.02806,37.226163,STRADDLES_BASELINE,C_WEAK,0,0,증축·개축 범위와 허가 범위 일치 여부 확인 / 건축물대장 미매칭 - 무허가 또는 미등록 여부 확인 필요,,,,,
22,HIGH,CHG_00019,NEW_BUILDING,2,2,406.16,4159510600103580006,202905.09,514263.69,127.032735,37.227521,STRADDLES_BASELINE,B_MODERATE,0,0,신축 여부 및 착공·사용승인 이력 확인 / 건축물대장 미매칭 - 무허가 또는 미등록 여부 확인 필요,,,,,
23,HIGH,CHG_00011,EXPANSION_OR_RECONSTRUCTION,6,6,911.39,4159510600102420001;4159510600102420002,203318.52,514598.76,127.037395,37.230539,STRADDLES_BASELINE,NONE,6,0,증축·개축 범위와 허가 범위 일치 여부 확인 / 후보 6건이 한 현장에 몰려 있음 - 1회 방문으로 일괄 확인 가능,,,,,
