threshold,comparison,new_building_candidates,expansion_candidates,high_priority_candidates,unique_field_sites,direction_mismatch_or_review
0.3,t0_t1,78,62,72,59,5
0.3,t0_t2,57,42,54,43,2
0.3,t1_t2,13,38,12,57,10
0.4,t0_t1,73,67,72,59,5
0.4,t0_t2,54,45,54,43,2
0.4,t1_t2,12,39,12,57,10
0.5,t0_t1,69,71,72,59,5
0.5,t0_t2,52,47,54,43,2
0.5,t1_t2,11,40,12,57,10
0.6,t0_t1,64,76,72,59,5
0.6,t0_t2,49,50,54,43,2
0.6,t1_t2,11,40,12,57,10
0.7,t0_t1,58,82,72,59,5
0.7,t0_t2,42,57,54,43,2
0.7,t1_t2,8,43,12,57,10
0.8,t0_t1,56,84,72,59,5
0.8,t0_t2,34,65,54,43,2
0.8,t1_t2,7,44,12,57,10
