id,pk,bd_mgt_sn,sido,sigungu,gu,rd_nm,bld_s,bld_e,buld_nm,buld_nm_dc,buld_se_cd,bul_eng_nm,zip_cd,gro_flo_co,und_flo_co,buld_no,sig_cd,rn_cd,emd_cd,pnu,xpos,ypos,poi_chk,mainPurpsCdNm,archArea,totArea,grndFlrCnt,ugrndFlrCnt,pmsDay,stcnsDay,useAprDay,has_register_match,match_method,administrative_uncertainty,building_area_m2,change_area_m2,change_ratio,max_change_score,near_change,site_id,brightness_delta,change_type,classification_note,directional_consistency_flag,change_id,mean_change_score,t1_date,t2_date,method,brightness_t1,brightness_t2,confidence,building_relevance,priority_score,inspection_priority,gi_zscore,gi_pvalue,gi_class
lt_c_spbd.4107776361,412810006540,4128111300100400004026681,경기도,고양시 덕양구,용두동,봉산로,258,0,,,0,,,1.0,0.0,258,41281,3192030,113,4128111300100400004,126.89431658129978,37.61545513231516,,창고시설,980.0,980.0,1.0,0.0,19960102,19960610,19960920,True,pnu,0.6,565.56,19.85,0.0351,0.9787,False,CHG_00066,546.94,EXPANSION_OR_RECONSTRUCTION,사용승인일=1996-09-20로 T1 이전부터 존재 - 증축/개축 확정(건축물대장 근거),,,,,,,,,0.9787,1.0,0.622,MEDIUM,0.14297381425397557,0.651,NOT_SIG
lt_c_spbd.4107798822,412810136981,4128111300100860000000002,경기도,고양시 덕양구,용두동,봉산로,287,107,,,0,,,1.0,0.0,287-107,41281,3192030,113,4128111300100860000,126.88872519908884,37.6161244621139,,제2종근린생활시설,22.8,22.8,1.0,0.0,20220712,20250710,20260724,True,pnu,0.6,33.54,30.5,0.9093,0.7289,False,CHG_00065,285.14,EXPANSION_OR_RECONSTRUCTION,사용승인일=2026-07-24로 T1 이전부터 존재 - 증축/개축 확정(건축물대장 근거),,,,,,,,,0.7289,1.0,0.7843,HIGH,0.09791518357316015,0.935,NOT_SIG
lt_c_spbd.4107798823,412810136980,4128111300100860000000001,경기도,고양시 덕양구,용두동,봉산로,287,107,,,0,,,1.0,0.0,287-107,41281,3192030,113,4128111300100860000,126.88863031612574,37.6165561968331,,제2종근린생활시설,22.8,22.8,1.0,0.0,20220712,20250710,20260724,True,pnu,0.6,165.06,37.47,0.227,0.7289,False,CHG_00065,285.14,EXPANSION_OR_RECONSTRUCTION,사용승인일=2026-07-24로 T1 이전부터 존재 - 증축/개축 확정(건축물대장 근거),,,,,,,,,0.7289,1.0,0.5797,MEDIUM,0.002212923870838067,0.937,NOT_SIG
lt_c_spbd.4107788313,412810021888,4128111300101550000003275,경기도,고양시 덕양구,용두동,화랑로286번길,104,92,,,0,,,1.0,0.0,104-92,41281,4376360,113,4128111300101550000,126.8848040485664,37.61883146605141,,단독주택,139.38,139.38,1.0,0.0,19750327, , ,True,pnu,0.6,180.99,0.05,0.0003,0.6322,False,CHG_00058,-380.76,EXPANSION_OR_RECONSTRUCTION,"change_ratio=0.00 - 부분 변화, 증축/개축 추정 (건축물대장 미매칭, change_ratio 휴리스틱) - brightness_delta=-380.8(T2가 더 어두움)로 증축 기대 방향과 불일치, 재확인 권장",False,,,,,,,,0.6322,1.0,0.473,MEDIUM,-0.7259194021729358,0.043,COLD_95
lt_c_spbd.4107801155,412810083280,4128111300101780002000001,경기도,고양시 덕양구,용두동,화랑로286번길,44,105,,,0,,,1.0,0.0,44-105,41281,4376360,113,4128111300101780002,126.88403223052468,37.61909565220866,,제2종근린생활시설,399.0,485.21,2.0,0.0,20100915,20100916,20130513,True,pnu,0.6,476.64,0.0,0.0,,True,,,OTHER_CHANGE,"건물 본체 미교차, 버퍼 내 변화만 존재",,,,,,,,,0.0,0.3,0.15,LOW,-0.7259194021729358,0.113,NOT_SIG
lt_c_spbd.4107801124,412810035167,4128111300101640001016936,경기도,고양시 덕양구,용두동,화랑로286번길,104,84,,,0,,,1.0,0.0,104-84,41281,4376360,113,4128111300101640001,126.88462192584441,37.61917061234526,,제1종근린생활시설,273.0,273.0,1.0,0.0,20090409,20090423,20091130,True,pnu,0.6,217.27,76.0,0.3498,0.6322,False,CHG_00058,-380.76,EXPANSION_OR_RECONSTRUCTION,사용승인일=2009-11-30로 T1 이전부터 존재 - 증축/개축 확정(건축물대장 근거),,,,,,,,,0.6322,1.0,0.5778,MEDIUM,-0.7259194021729358,0.037,COLD_95
lt_c_spbd.4107776358,412810006541,4128111300100400004026933,경기도,고양시 덕양구,용두동,봉산로,258,0,,,0,,,1.0,0.0,258,41281,3192030,113,4128111300100400004,126.89413708120577,37.61544186183522,,창고시설,980.0,980.0,1.0,0.0,19960102,19960610,19960920,True,pnu,0.6,563.66,316.6,0.5617,0.9787,False,CHG_00066,546.94,EXPANSION_OR_RECONSTRUCTION,사용승인일=1996-09-20로 T1 이전부터 존재 - 증축/개축 확정(건축물대장 근거),,,,,,,,,0.9787,1.0,0.78,HIGH,0.14297381425397557,0.833,NOT_SIG
lt_c_spbd.4107803497,412810078115,4128111300100390005000001,경기도,고양시 덕양구,용두동,봉산로,269,2,,,0,,,1.0,0.0,269-2,41281,3192030,113,4128111300100390005,126.8933690818076,37.61626771756658,,단독주택,24.48,24.48,1.0,0.0, , ,19840628,True,pnu,0.6,135.47,46.47,0.343,0.9787,False,CHG_00066,546.94,EXPANSION_OR_RECONSTRUCTION,사용승인일=1984-06-28로 T1 이전부터 존재 - 증축/개축 확정(건축물대장 근거),,,,,,,,,0.9787,1.0,0.7144,HIGH,0.16843762024796638,0.695,NOT_SIG
lt_c_spbd.4107803496,412810078116,4128111300100390005000002,경기도,고양시 덕양구,용두동,봉산로,269,2,,,0,,,1.0,0.0,269-2,41281,3192030,113,4128111300100390005,126.89347936138537,37.61634615877885,,단독주택,24.48,24.48,1.0,0.0, , ,19840628,True,pnu,0.6,51.69,51.69,0.9999,0.9787,False,CHG_00066,546.94,EXPANSION_OR_RECONSTRUCTION,사용승인일=1984-06-28로 T1 이전부터 존재 - 증축/개축 확정(건축물대장 근거),,,,,,,,,0.9787,1.0,0.9115,HIGH,0.16843762024796638,0.899,NOT_SIG
lt_c_spbd.4107782625,412810079315,4128111300101010001000001,경기도,고양시 덕양구,용두동,화랑로286번길,269,0,,,0,,,1.0,0.0,269,41281,4376360,113,4128111300101010001,126.89204101192618,37.618940395986996,,,,,,,,,,False,,1.0,81.37,18.55,0.2279,0.6861,False,CHG_00060,-574.74,EXPANSION_OR_RECONSTRUCTION,"change_ratio=0.23 - 부분 변화, 증축/개축 추정 (건축물대장 미매칭, change_ratio 휴리스틱) - brightness_delta=-574.7(T2가 더 어두움)로 증축 기대 방향과 불일치, 재확인 권장",False,,,,,,,,0.6861,1.0,0.6428,MEDIUM,-0.3926653910136654,0.223,NOT_SIG
lt_c_spbd.4107798673,412810032782,4128111300100280001033282,경기도,고양시 덕양구,용두동,용두로,124,6,,,0,,,1.0,0.0,124-6,41281,3192055,113,4128111300100280003,126.8940988456448,37.6203098490469,,단독주택,49.68,49.68,1.0,0.0, , , ,True,road_address,0.6,14.44,0.0,0.0,,True,,,OTHER_CHANGE,"건물 본체 미교차, 버퍼 내 변화만 존재",,,,,,,,,0.0,0.3,0.15,LOW,-0.523013572626026,0.353,NOT_SIG
lt_c_spbd.4107798681,412810032775,4128111300100280001003221,경기도,고양시 덕양구,용두동,용두로,124,14,,,0,,,1.0,0.0,124-14,41281,3192055,113,4128111300100280001,126.89426135613171,37.62034829070812,,단독주택,57.47,57.47,1.0,0.0, , ,19851110,True,pnu,0.6,51.25,22.68,0.4425,0.5549,False,CHG_00054,-294.04,EXPANSION_OR_RECONSTRUCTION,사용승인일=1985-11-10로 T1 이전부터 존재 - 증축/개축 확정(건축물대장 근거),,,,,,,,,0.5549,1.0,0.5747,MEDIUM,-0.523013572626026,0.123,NOT_SIG
