file_path,data_type,crs,bounds,width_or_feature_count,height,bands_or_geometry_type,dtype,nodata,columns,notes
data\raw\buildings\changneung_bbox_buildings.geojson,vector,EPSG:4326,"(126.872, 37.61, 126.914, 37.652)",5184,,MultiPolygon,,,"id,pk,bd_mgt_sn,sido,sigungu,gu,rd_nm,bld_s,bld_e,buld_nm,buld_nm_dc,buld_se_cd,bul_eng_nm,zip_cd,gro_flo_co,und_flo_co,buld_no,sig_cd,rn_cd,emd_cd,pnu,xpos,ypos,poi_chk",
data\raw\imagery\2022\S2A_MSIL2A_20220517T021611_R003_T52SCG_20220519T044055_B02.tif,raster,EPSG:32652,"(300000.0, 4090200.0, 409800.0, 4200000.0)",10980,10980,1,uint16,0.0,,
data\raw\imagery\2022\S2A_MSIL2A_20220517T021611_R003_T52SCG_20220519T044055_B03.tif,raster,EPSG:32652,"(300000.0, 4090200.0, 409800.0, 4200000.0)",10980,10980,1,uint16,0.0,,
data\raw\imagery\2022\S2A_MSIL2A_20220517T021611_R003_T52SCG_20220519T044055_B04.tif,raster,EPSG:32652,"(300000.0, 4090200.0, 409800.0, 4200000.0)",10980,10980,1,uint16,0.0,,
data\raw\imagery\2022\S2A_MSIL2A_20220517T021611_R003_T52SCG_20220519T044055_B08.tif,raster,EPSG:32652,"(300000.0, 4090200.0, 409800.0, 4200000.0)",10980,10980,1,uint16,0.0,,
data\raw\imagery\2024\S2B_MSIL2A_20240531T021529_R003_T52SCG_20240531T054410_B02.tif,raster,EPSG:32652,"(300000.0, 4090200.0, 409800.0, 4200000.0)",10980,10980,1,uint16,0.0,,
data\raw\imagery\2024\S2B_MSIL2A_20240531T021529_R003_T52SCG_20240531T054410_B03.tif,raster,EPSG:32652,"(300000.0, 4090200.0, 409800.0, 4200000.0)",10980,10980,1,uint16,0.0,,
data\raw\imagery\2024\S2B_MSIL2A_20240531T021529_R003_T52SCG_20240531T054410_B04.tif,raster,EPSG:32652,"(300000.0, 4090200.0, 409800.0, 4200000.0)",10980,10980,1,uint16,0.0,,
data\raw\imagery\2024\S2B_MSIL2A_20240531T021529_R003_T52SCG_20240531T054410_B08.tif,raster,EPSG:32652,"(300000.0, 4090200.0, 409800.0, 4200000.0)",10980,10980,1,uint16,0.0,,
data\aoi\changneung_test_aoi.gpkg,vector,EPSG:5186,"(188749.286, 556770.63, 192274.532, 561318.908)",1,,Polygon,,,"aoi_name,adm_nm_included,area_km2,source,note",
data\processed\buildings\changneung_buildings_clipped.gpkg,vector,EPSG:5186,"(188796.132, 556807.867, 192131.867, 561215.218)",2737,,Polygon,,,"id,pk,bd_mgt_sn,sido,sigungu,gu,rd_nm,bld_s,bld_e,buld_nm,buld_nm_dc,buld_se_cd,bul_eng_nm,zip_cd,gro_flo_co,und_flo_co,buld_no,sig_cd,rn_cd,emd_cd,pnu,xpos,ypos,poi_chk",
data\processed\imagery\2022_stack.tif,raster,EPSG:5186,"(188747.212, 556766.795, 192277.755, 561327.496)",353,456,4,uint16,0.0,,
data\processed\imagery\2024_stack.tif,raster,EPSG:5186,"(188747.212, 556766.795, 192277.755, 561327.496)",353,456,4,uint16,0.0,,
