방문순서,우선순위,현장ID,주요변화유형,후보건수,건물수,변화면적(m2),관련필지PNU,X_EPSG5186,Y_EPSG5186,경도,위도,보상기준일판정,무허가의심등급,대장매칭건수,방향불일치건수,현장확인사항,현장판정(기입),사진촬영(기입),조사자(기입),조사일자(기입),비고(기입)
1,HIGH,CHG_00067,EXPANSION_OR_RECONSTRUCTION,6,6,501.56,4128111300100010002;4128111300100010046;4128111300100010047;4128111300200300030,191367.31,557811.08,126.902217,37.619855,POST_BASELINE_UNVERIFIED,B_MODERATE,5,0,증축·개축 범위와 허가 범위 일치 여부 확인 / 보상 기준일 이후 변화로 추정되며 행정근거 미확인 - 보상 실무 확인 우선 / 후보 6건이 한 현장에 몰려 있음 - 1회 방문으로 일괄 확인 가능,,,,,
2,HIGH,CHG_00062,NEW_BUILDING,6,6,930.94,4128111300100010005;4128111300100020017;4128111300100020025;4128111300100040006,191201.28,557871.35,126.900335,37.620396,POST_BASELINE_UNVERIFIED,B_MODERATE,0,0,신축 여부 및 착공·사용승인 이력 확인 / 건축물대장 미매칭 - 무허가 또는 미등록 여부 확인 필요 / 보상 기준일 이후 변화로 추정되며 행정근거 미확인 - 보상 실무 확인 우선 / 후보 6건이 한 현장에 몰려 있음 - 1회 방문으로 일괄 확인 가능,,,,,
3,HIGH,CHG_00052,EXPANSION_OR_RECONSTRUCTION,2,2,400.41,4128111300100020010,190987.07,558170.16,126.897905,37.623086,POST_BASELINE_UNVERIFIED,NONE,2,0,증축·개축 범위와 허가 범위 일치 여부 확인 / 보상 기준일 이후 변화로 추정되며 행정근거 미확인 - 보상 실무 확인 우선,,,,,
4,HIGH,CHG_00047,EXPANSION_OR_RECONSTRUCTION,2,2,137.79,4128111300104320099;4128111300104320290,190918.07,558446.96,126.89712,37.62558,POST_BASELINE_UNVERIFIED,NONE,2,0,증축·개축 범위와 허가 범위 일치 여부 확인 / 보상 기준일 이후 변화로 추정되며 행정근거 미확인 - 보상 실무 확인 우선,,,,,
5,HIGH,CHG_00044,EXPANSION_OR_RECONSTRUCTION,8,8,910.01,4128111300104320046;4128111300104320088;4128111300104320091;4128111300104320092;4128111300104320095;4128111300104320379;4128111300104320381;4128111300104320458,190820.44,558575.07,126.896013,37.626733,POST_BASELINE_UNVERIFIED,B_MODERATE,6,0,증축·개축 범위와 허가 범위 일치 여부 확인 / 보상 기준일 이후 변화로 추정되며 행정근거 미확인 - 보상 실무 확인 우선 / 후보 8건이 한 현장에 몰려 있음 - 1회 방문으로 일괄 확인 가능,,,,,
6,HIGH,CHG_00037,EXPANSION_OR_RECONSTRUCTION,4,4,309.28,4128111300104320519;4128111300104320522;4128111300104320555,190309.71,558762.65,126.890225,37.628418,POST_BASELINE_UNVERIFIED,B_MODERATE,3,0,증축·개축 범위와 허가 범위 일치 여부 확인 / 보상 기준일 이후 변화로 추정되며 행정근거 미확인 - 보상 실무 확인 우선,,,,,
7,HIGH,CHG_00038,NEW_BUILDING,2,2,495.82,4128111300104320185;4128111300104320186,190125.4,558726.43,126.888137,37.628089,POST_BASELINE_UNVERIFIED,B_MODERATE,2,0,신축 여부 및 착공·사용승인 이력 확인 / 보상 기준일 이후 변화로 추정되며 행정근거 미확인 - 보상 실무 확인 우선,,,,,
8,HIGH,CHG_00036,EXPANSION_OR_RECONSTRUCTION,4,4,403.43,4128111300104300001;4128111300104320177;4128111300104320181;4128111300104320218,189910.38,558850.28,126.8857,37.629203,POST_BASELINE_UNVERIFIED,B_MODERATE,4,0,증축·개축 범위와 허가 범위 일치 여부 확인 / 보상 기준일 이후 변화로 추정되며 행정근거 미확인 - 보상 실무 확인 우선,,,,,
9,HIGH,CHG_00034,EXPANSION_OR_RECONSTRUCTION,2,2,164.81,4128111300104330005,189825.86,558872.04,126.884742,37.629398,PRE_BASELINE,NONE,2,0,증축·개축 범위와 허가 범위 일치 여부 확인,,,,,
10,HIGH,CHG_00033,NEW_BUILDING,39,39,4576.28,4128111300104340005;4128111300104340006;4128111300104340010;4128111300104360004;4128111300104400002;4128111300104400003,189718.6,558963.62,126.883525,37.630222,POST_BASELINE_UNVERIFIED,B_MODERATE,7,37,"신축 여부 및 착공·사용승인 이력 확인 / 밝기 변화 방향 불일치 37건 - 자동판정 신뢰도 낮음, 육안 확인 필수 / 보상 기준일 이후 변화로 추정되며 행정근거 미확인 - 보상 실무 확인 우선 / 후보 39건이 한 현장에 몰려 있음 - 1회 방문으로 일괄 확인 가능",,,,,
