id,pk,bd_mgt_sn,sido,sigungu,gu,rd_nm,bld_s,bld_e,buld_nm,buld_nm_dc,buld_se_cd,bul_eng_nm,zip_cd,gro_flo_co,und_flo_co,buld_no,sig_cd,rn_cd,emd_cd,pnu,xpos,ypos,poi_chk,mainPurpsCdNm,archArea,totArea,grndFlrCnt,ugrndFlrCnt,pmsDay,stcnsDay,useAprDay,has_register_match,match_method,administrative_uncertainty,building_area_m2,change_area_m2,change_ratio,max_change_score,near_change,site_id,brightness_delta,change_type,classification_note,directional_consistency_flag,change_id,mean_change_score,t1_date,t2_date,method,brightness_t1,brightness_t2,confidence,building_relevance,priority_score,inspection_priority,gi_zscore,gi_pvalue,gi_class
lt_c_spbd.4107776361,412810006540,4128111300100400004026681,경기도,고양시 덕양구,용두동,봉산로,258,0,,,0,,,1.0,0.0,258,41281,3192030,113,4128111300100400004,126.89431658129978,37.61545513231516,,창고시설,980.0,980.0,1.0,0.0,19960102,19960610,19960920,True,pnu,0.6,565.56,19.85,0.0351,1.0,False,CHG_00090,416.21,EXPANSION_OR_RECONSTRUCTION,사용승인일=1996-09-20로 T1 이전부터 존재 - 증축/개축 확정(건축물대장 근거),,,,,,,,,1.0,1.0,0.6305,MEDIUM,-0.07769690081875257,0.873,NOT_SIG
lt_c_spbd.4107801034,412810115940,4128111300101840007000002,경기도,고양시 덕양구,용두동,화랑로286번길,44,120,,,0,,,1.0,0.0,44-120,41281,4376360,113,4128111300101840007,126.88336284937635,37.61798412241721,,,,,,,,,,False,,1.0,209.57,28.91,0.1379,0.6689,False,CHG_00085,-53.78,EXPANSION_OR_RECONSTRUCTION,"change_ratio=0.14 - 부분 변화, 증축/개축 추정 (건축물대장 미매칭, change_ratio 휴리스틱) - brightness_delta=-53.8(T2가 더 어두움)로 증축 기대 방향과 불일치, 재확인 권장",False,,,,,,,,0.6689,1.0,0.6089,MEDIUM,0.428061752755706,0.087,HOT_90
lt_c_spbd.4107798821,412810078125,4128111300100900000000001,경기도,고양시 덕양구,용두동,봉산로,287,90,,,0,,,1.0,0.0,287-90,41281,3192030,113,4128111300100900000,126.88950932503442,37.61681650553963,,,,,,,,,,False,,1.0,174.1,0.0,0.0,,True,,,OTHER_CHANGE,"건물 본체 미교차, 버퍼 내 변화만 존재",,,,,,,,,0.0,0.3,0.23,LOW,-0.28052888444587276,0.819,NOT_SIG
lt_c_spbd.4107798820,412810078134,4128111300101260004000001,경기도,고양시 덕양구,용두동,봉산로,287,80,,,0,,,1.0,0.0,287-80,41281,3192030,113,4128111300101260004,126.88989646374924,37.61717242630464,,,,,,,,,,False,,1.0,86.24,86.24,1.0,0.6652,False,CHG_00087,-35.19,NEW_BUILDING,"change_ratio=1.00 >= 0.5 - 신축 추정 (건축물대장 미매칭, change_ratio 휴리스틱) - brightness_delta=-35.2(T2가 더 어두움)로 신축 기대 방향과 불일치, 재확인 권장",False,,,,,,,,0.6652,1.0,0.8661,HIGH,-0.28052888444587276,0.289,NOT_SIG
lt_c_spbd.4107798819,412810104927,4128111300101260012000001,경기도,고양시 덕양구,용두동,봉산로,287,70,,,0,,,2.0,0.0,287-70,41281,3192030,113,4128111300101260012,126.89013497338667,37.6177243744162,,제2종근린생활시설,196.0,231.88,2.0,0.0,20191223,20200406,20200819,True,pnu,0.6,203.21,203.21,1.0,0.6652,False,CHG_00087,-35.19,EXPANSION_OR_RECONSTRUCTION,사용승인일=2020-08-19로 T1 이전부터 존재 - 증축/개축 확정(건축물대장 근거),,,,,,,,,0.6652,1.0,0.7861,HIGH,-0.34135529873588044,0.257,NOT_SIG
lt_c_spbd.4107801033,412810115939,4128111300101840007000001,경기도,고양시 덕양구,용두동,화랑로286번길,44,120,,,0,,,1.0,0.0,44-120,41281,4376360,113,4128111300101840007,126.88300456181929,37.61808597047276,,,,,,,,,,False,,1.0,115.78,115.78,1.0,0.6689,False,CHG_00085,-53.78,NEW_BUILDING,"change_ratio=1.00 >= 0.5 - 신축 추정 (건축물대장 미매칭, change_ratio 휴리스틱) - brightness_delta=-53.8(T2가 더 어두움)로 신축 기대 방향과 불일치, 재확인 권장",False,,,,,,,,0.6689,1.0,0.8676,HIGH,0.4463282216812108,0.191,NOT_SIG
lt_c_spbd.4107788308,412810021893,4128111300201710001003274,경기도,고양시 덕양구,용두동,화랑로286번길,104,90,,,0,,,1.0,0.0,104-90,41281,4376360,113,4128111300201710001,126.8847953183051,37.61869288619275,,,,,,,,,,False,,1.0,76.44,21.0,0.2747,0.963,False,CHG_00084,342.63,EXPANSION_OR_RECONSTRUCTION,"change_ratio=0.27 - 부분 변화, 증축/개축 추정 (건축물대장 미매칭, change_ratio 휴리스틱)",True,,,,,,,,0.963,1.0,0.7676,HIGH,0.3327886724462812,0.311,NOT_SIG
lt_c_spbd.4107801126,412810035169,4128111300201710001003097,경기도,고양시 덕양구,용두동,화랑로286번길,104,88,,,0,,,1.0,0.0,104-88,41281,4376360,113,4128111300201710001,126.88474605999679,37.618764871011834,,,,,,,,,,False,,1.0,58.93,50.04,0.8491,0.963,False,CHG_00084,342.63,NEW_BUILDING,"change_ratio=0.85 >= 0.5 - 신축 추정 (건축물대장 미매칭, change_ratio 휴리스틱)",True,,,,,,,,0.963,1.0,0.9399,HIGH,0.3327886724462812,0.469,NOT_SIG
lt_c_spbd.4107801125,412810035170,4128111300201710001018598,경기도,고양시 덕양구,용두동,화랑로286번길,104,88,,,0,,,1.0,0.0,104-88,41281,4376360,113,4128111300201710001,126.88468416804832,37.61880086682777,,,,,,,,,,False,,1.0,43.21,43.21,0.9999,0.963,False,CHG_00084,342.63,NEW_BUILDING,"change_ratio=1.00 >= 0.5 - 신축 추정 (건축물대장 미매칭, change_ratio 휴리스틱)",True,,,,,,,,0.963,1.0,0.9852,HIGH,0.37581223377335926,0.419,NOT_SIG
lt_c_spbd.4107801035,412810078143,4128111300101820000000001,경기도,고양시 덕양구,용두동,화랑로286번길,44,133,,,0,,,1.0,0.0,44-133,41281,4376360,113,4128111300101820000,126.88366879017488,37.61881609996112,,,,,,,,,,False,,1.0,85.02,36.04,0.4239,0.963,False,CHG_00084,342.63,EXPANSION_OR_RECONSTRUCTION,"change_ratio=0.42 - 부분 변화, 증축/개축 추정 (건축물대장 미매칭, change_ratio 휴리스틱)",True,,,,,,,,0.963,1.0,0.8124,HIGH,0.3251853706600301,0.365,NOT_SIG
