id,pk,bd_mgt_sn,sido,sigungu,gu,rd_nm,bld_s,bld_e,buld_nm,buld_nm_dc,buld_se_cd,bul_eng_nm,zip_cd,gro_flo_co,und_flo_co,buld_no,sig_cd,rn_cd,emd_cd,pnu,xpos,ypos,poi_chk,mainPurpsCdNm,archArea,totArea,grndFlrCnt,ugrndFlrCnt,pmsDay,stcnsDay,useAprDay,has_register_match,match_method,administrative_uncertainty,building_area_m2,change_area_m2,change_ratio,max_change_score,near_change,site_id,change_type,classification_note,change_id,mean_change_score,t1_date,t2_date,method,confidence,building_relevance,priority_score,inspection_priority,gi_zscore,gi_pvalue,gi_class
lt_c_spbd.4107798705,412810032789,4128111300100010040002644,경기도,고양시 덕양구,용두동,서오릉로,307,33,,,0,,,1.0,0.0,307-33,41281,3000007,113,4128111300100010040,126.90245631712807,37.618634274478175,,,,,,,,,,False,,1.0,67.65,0.0,0.0,,True,,OTHER_CHANGE,"건물 본체 미교차, 버퍼 내 변화만 존재",,,,,,0.0,0.3,0.23,LOW,-0.897946746046193,0.031,COLD_95
lt_c_spbd.4107798707,412810032795,4128111300100010040027390,경기도,고양시 덕양구,용두동,서오릉로,307,33,,,0,,,1.0,0.0,307-33,41281,3000007,113,4128111300100010040,126.90261930220093,37.618733492739366,,,,,,,,,,False,,1.0,30.71,0.0,0.0,,True,,OTHER_CHANGE,"건물 본체 미교차, 버퍼 내 변화만 존재",,,,,,0.0,0.3,0.23,LOW,-0.897946746046193,0.031,COLD_95
lt_c_spbd.4107798822,412810136981,4128111300100860000000002,경기도,고양시 덕양구,용두동,봉산로,287,107,,,0,,,1.0,0.0,287-107,41281,3192030,113,4128111300100860000,126.88872519908884,37.6161244621139,,제2종근린생활시설,22.8,22.8,1.0,0.0,20220712,20250710,20260724,True,pnu,0.6,33.54,27.21,0.8113,1.0,False,CHG_00068,EXPANSION_OR_RECONSTRUCTION,사용승인일=2026-07-24로 T1 이전부터 존재 - 증축/개축 확정(건축물대장 근거),,,,,,1.0,1.0,0.8634,HIGH,0.6152976775445096,0.075,HOT_90
lt_c_spbd.4107798829,412810079625,4128111300100860004000001,경기도,고양시 덕양구,용두동,봉산로,287,111,,,0,,,1.0,0.0,287-111,41281,3192030,113,4128111300100860004,126.88848508676338,37.616447600974965,,,,,,,,,,False,,1.0,91.51,12.46,0.1362,1.0,False,CHG_00068,EXPANSION_OR_RECONSTRUCTION,"change_ratio=0.14 - 부분 변화, 증축/개축 추정 (건축물대장 미매칭, change_ratio 휴리스틱)",,,,,,1.0,1.0,0.7409,HIGH,0.40718795391719625,0.227,NOT_SIG
lt_c_spbd.4107798823,412810136980,4128111300100860000000001,경기도,고양시 덕양구,용두동,봉산로,287,107,,,0,,,1.0,0.0,287-107,41281,3192030,113,4128111300100860000,126.88863031612574,37.6165561968331,,제2종근린생활시설,22.8,22.8,1.0,0.0,20220712,20250710,20260724,True,pnu,0.6,165.06,165.06,1.0,1.0,False,CHG_00068,EXPANSION_OR_RECONSTRUCTION,사용승인일=2026-07-24로 T1 이전부터 존재 - 증축/개축 확정(건축물대장 근거),,,,,,1.0,1.0,0.92,HIGH,0.8281935332226291,0.003,HOT_99
lt_c_spbd.4107801156,412810083282,4128111300101800015000002,경기도,고양시 덕양구,용두동,화랑로286번길,44,107,,,0,,,1.0,0.0,44-107,41281,4376360,113,4128111300101800015,126.88399858017092,37.618883759933155,,제2종근린생활시설,412.0,491.08,2.0,0.0,20100915,20100916,20130513,True,pnu,0.6,453.01,21.78,0.0481,0.6667,False,CHG_00059,EXPANSION_OR_RECONSTRUCTION,사용승인일=2013-05-13로 T1 이전부터 존재 - 증축/개축 확정(건축물대장 근거),,,,,,0.6667,1.0,0.5011,MEDIUM,-0.13495027656499545,0.857,NOT_SIG
lt_c_spbd.4107801155,412810083280,4128111300101780002000001,경기도,고양시 덕양구,용두동,화랑로286번길,44,105,,,0,,,1.0,0.0,44-105,41281,4376360,113,4128111300101780002,126.88403223052468,37.61909565220866,,제2종근린생활시설,399.0,485.21,2.0,0.0,20100915,20100916,20130513,True,pnu,0.6,476.64,55.6,0.1166,0.6667,False,CHG_00059,EXPANSION_OR_RECONSTRUCTION,사용승인일=2013-05-13로 T1 이전부터 존재 - 증축/개축 확정(건축물대장 근거),,,,,,0.6667,1.0,0.5217,MEDIUM,-0.13495027656499545,0.825,NOT_SIG
lt_c_spbd.4107801030,412810035043,4128111300101790005000001,경기도,고양시 덕양구,용두동,화랑로286번길,44,111,,,0,,,2.0,0.0,44-111,41281,4376360,113,4128111300101790005,126.88390173134586,37.61931549952509,,제1종근린생활시설,208.23,284.31,2.0,0.0,20100708,20100713,20101021,True,pnu,0.6,192.35,130.62,0.6791,0.6667,False,CHG_00059,EXPANSION_OR_RECONSTRUCTION,사용승인일=2010-10-21로 T1 이전부터 존재 - 증축/개축 확정(건축물대장 근거),,,,,,0.6667,1.0,0.6904,MEDIUM,-0.13495027656499545,0.651,NOT_SIG
lt_c_spbd.4107801031,412810035042,4128111300101790000000002,경기도,고양시 덕양구,용두동,화랑로286번길,44,113,,,0,,,0.0,0.0,44-113,41281,4376360,113,4128111300101790000,126.88378180907159,37.61936084976548,,제1종근린생활시설,189.0,189.0,1.0,0.0,20100708,20100713,20101021,True,pnu,0.6,257.12,233.07,0.9064,0.6667,False,CHG_00059,EXPANSION_OR_RECONSTRUCTION,사용승인일=2010-10-21로 T1 이전부터 존재 - 증축/개축 확정(건축물대장 근거),,,,,,0.6667,1.0,0.7586,HIGH,-0.13495027656499545,0.601,NOT_SIG
lt_c_spbd.4107801032,412810035041,4128111300101790000000001,경기도,고양시 덕양구,용두동,화랑로286번길,44,113,,,0,,,0.0,0.0,44-113,41281,4376360,113,4128111300101790000,126.88367857461895,37.61943395747424,,제1종근린생활시설,189.0,189.0,1.0,0.0,20100708,20100713,20101021,True,pnu,0.6,190.07,125.42,0.6599,0.6667,False,CHG_00059,EXPANSION_OR_RECONSTRUCTION,사용승인일=2010-10-21로 T1 이전부터 존재 - 증축/개축 확정(건축물대장 근거),,,,,,0.6667,1.0,0.6846,MEDIUM,0.08212256708473652,0.787,NOT_SIG
